[2025-03-18 16:09:16.707] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240926162000.xls?r=9629
[2025-03-18 16:09:16.707] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240820162000.xls?r=5636
[2025-03-18 16:09:16.707] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240724162000.xls?r=5887
[2025-03-18 16:09:16.707] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241108162000.xls?r=8868
[2025-03-18 16:09:16.708] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240126162000.xls?r=8918
[2025-03-18 16:09:16.708] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240219162000.xls?r=4588
[2025-03-18 16:09:16.708] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240912162000.xls?r=3233
[2025-03-18 16:09:16.708] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240523162000.xls?r=9090
[2025-03-18 16:09:16.708] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20250123162000.xls?r=1050
[2025-03-18 16:09:16.708] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240619162000.xls?r=4069
[2025-03-18 16:09:16.708] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230629162000.xls?r=9479
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240807162000.xls?r=1106
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240613162000.xls?r=5898
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240520162000.xls?r=7597
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230904162000.xls?r=4792
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240207162000.xls?r=6413
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231128162000.xls?r=2291
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241206162000.xls?r=3884
[2025-03-18 16:09:16.709] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240628162000.xls?r=1722
[2025-03-18 16:09:16.710] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20250312162000.xls?r=9846
[2025-03-18 16:09:16.710] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230830162000.xls?r=1321
[2025-03-18 16:09:16.710] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230925162000.xls?r=9415
[2025-03-18 16:09:16.710] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230125162000.xls?r=7266
[2025-03-18 16:09:16.710] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241112162000.xls?r=8398
[2025-03-18 16:09:16.710] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240506162000.xls?r=7491
[2025-03-18 16:09:16.710] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240325162000.xls?r=7680
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230109162000.xls?r=6112
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230905162000.xls?r=1869
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20250115162000.xls?r=7109
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230117162000.xls?r=5410
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230203162000.xls?r=4263
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240513162000.xls?r=9855
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230301162000.xls?r=2231
[2025-03-18 16:09:16.711] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241114162000.xls?r=4488
[2025-03-18 16:09:16.712] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231219162000.xls?r=6032
[2025-03-18 16:09:16.712] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240320162000.xls?r=8323
[2025-03-18 16:09:16.713] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230210162000.xls?r=2262
[2025-03-18 16:09:16.713] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231213162000.xls?r=5143
[2025-03-18 16:09:16.714] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240402162000.xls?r=3854
[2025-03-18 16:09:16.714] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230622162000.xls?r=5538
[2025-03-18 16:09:16.714] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231215162000.xls?r=7817
[2025-03-18 16:09:16.714] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230227162000.xls?r=3368
[2025-03-18 16:09:16.714] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230907162000.xls?r=7704
[2025-03-18 16:09:16.715] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230321162000.xls?r=8240
[2025-03-18 16:09:16.715] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240129162000.xls?r=1011
[2025-03-18 16:09:16.715] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230703162000.xls?r=6290
[2025-03-18 16:09:16.715] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241007162000.xls?r=3371
[2025-03-18 16:09:16.715] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240729162000.xls?r=6910
[2025-03-18 16:09:16.715] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230426162000.xls?r=6112
[2025-03-18 16:09:16.715] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20250121162000.xls?r=5619
[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231218162000.xls?r=3452
[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231204162000.xls?r=8815
[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230412162000.xls?r=4778
[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231228162000.xls?r=2400
[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230804162000.xls?r=8838
[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240911162000.xls?r=5614
[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230615162000.xls?r=8815
